1501038315.757991,"""Is the waving person a boy?"""
1501038335.215903,"""Is the waving person a boy?"""
1501038338.350371,"""Is the waving person a boy?"""
1501038366.425918,"""Is the waving person a boy?"""
1501038375.844648,"""Is the waving person a boy?"""
1501038397.952667,"""Is the waving person a boy?"""
1501038429.804756,"""Is the waving person a boy?"""
1501038433.370542,"""Is the waving person a boy?"""
1501038486.864917,"""Is the waving person a boy?"""
1501038496.155809,"""Is the waving person a boy?"""
1501038516.324319,"""Is the waving person a boy?"""
1501038540.604553,"""Is the waving person a boy?"""
1501038585.484726,"""Is the waving person a boy?"""
1501038592.513038,"""Is the waving person a boy?"""
1501038617.619719,"""Is the waving person a boy?"""
1501038625.546907,"""Is the waving person a boy?"""
1501038631.43916,"""Is the waving person a boy?"""
1501038979.53638,"""Is the waving person a boy?"""
1501039026.03181,"""Is the waving person a boy?"""
1501039076.447658,"""Is the waving person a boy?"""
1501039146.022644,"""Is the waving person a boy?"""
1501040385.626142,"""Is the waving person a boy?"""
1501040395.888384,"""Is the waving person a boy?"""
1501040401.327174,"""Is the waving person a boy?"""
1501040410.69906,"""Is the waving person a boy?"""
1501040454.894453,"""Is the waving person a boy?"""
1501040457.645317,"""Is the waving person a boy?"""
1501040473.031936,"""Is the waving person a boy?"""
1501040513.942613,"""Is the waving person a boy?"""
1501040517.048599,"""Is the waving person a boy?"""
1501040524.06951,"""Is the waving person a boy?"""
1501040529.539099,"""Is the waving person a boy?"""
1501040537.831135,"""Is the waving person a boy?"""
1501040544.750118,"""Is the waving person a boy?"""
1501040555.348667,"""Is the waving person a boy?"""
1501040566.564017,"""Is the waving person a boy?"""
1501040598.308775,"""Is the waving person a boy?"""
1501040601.074734,"""Is the waving person a boy?"""
1501040623.896359,"""Is the waving person a boy?"""
1501040630.801026,"""Is the waving person a boy?"""
1501040640.605061,"""Is the waving person a boy?"""
1501040647.689196,"""Is the waving person a boy?"""
1501040652.278341,"""Is the waving person a boy?"""
1501040654.21381,"""Is the waving person a boy?"""
1501040657.054247,"""Is the waving person a boy?"""
1501040675.410355,"""Is the waving person a boy?"""
1501040680.931133,"""Is the waving person a boy?"""
1501040689.00294,"""Is the waving person a boy?"""
1501040695.240171,"""Is the waving person a boy?"""
1501040709.42737,"""Is the waving person a boy?"""
1501040716.014684,"""Is the waving person a boy?"""
1501040749.00588,"""Is the waving person a boy?"""
1501040756.630341,"""Is the waving person a boy?"""
1501043034.775112,"""What time is it?"""
1501043066.189348,"""How many people live in Japan?"""
1501043103.881917,""" what day is today so it works nice nice nice"""
1501047740.736775,"""How many women are in the crowd?"""
1501047772.208401,"""How many women are in the crowd?"""
1501047784.265186,"""What time is it?"""
1501047805.848513,"""How many women are in the crowd?"""
1501047840.333256,"""next"""
1501047847.207499,""" Google"""
1501047861.538609,"""What day is today?"""
1501047895.395467,"""What's the name of your team?"""
